geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
01005,-23.54977002637195,-46.63583891548848,sao paulo,SP
01022,-23.547794628585642,-46.63023791550086,sao paulo,SP
01014,-23.544631844566954,-46.63393720301238,sao paulo,SP
01019,-23.552151883432384,-46.63080224715792,sao paulo,SP
01021,-23.539158,-46.632020039961944,sao paulo,SP
01040,-23.540876706359263,-46.638218310433395,são paulo,SP
01031,-23.54069108510848,-46.63395529665179,sao paulo,SP
01019,-23.552151883432384,-46.63080224715792,sao paulo,SP
01026,-23.53984025062037,-46.6302639919499,sao paulo,SP
01027,-23.537909232298507,-46.632375550233725,sao paulo,SP
01046,-23.546817419095163,-46.64537999999999,sao paulo,SP
01031,-23.544207,-46.63628100000001,sao paulo,SP
01042,-23.545949119754194,-46.64038040172743,sao paulo,SP
01021,-23.54516769470249,-46.632248679583284,sao paulo,SP
01033,-23.542949999999962,-46.63529999999997,sao paulo,SP
01033,-23.54032130474925,-46.636394815973325,são paulo,SP
01035,-23.54098377450212,-46.642568531063326,sao paulo,SP
01005,-23.54977002637195,-46.63583891548848,sao paulo,SP
01049,-23.547378373853096,-46.63881261379765,sao paulo,SP
01035,-23.54098377450212,-46.642568531063326,sao paulo,SP
01026,-23.53984025062037,-46.6302639919499,sao paulo,SP
01022,-23.544280236741912,-46.630819048012036,sao paulo,SP
01012,-23.54663965084541,-46.63496394656362,sao paulo,SP
01046,-23.546817419095163,-46.64537999999999,sao paulo,SP
01033,-23.542949999999962,-46.63529999999997,sao paulo,SP
01012,-23.548945985189434,-46.63467113292871,sao paulo,SP
01031,-23.542222369409696,-46.63567165652957,sao paulo,SP
01046,-23.546817419095163,-46.64537999999999,sao paulo,SP
01049,-23.547765310577624,-46.64021604302036,sao paulo,SP
01035,-23.54098377450212,-46.642568531063326,são paulo,SP
01012,-23.548016567026384,-46.63455347209884,sao paulo,SP
01027,-23.538560793236705,-46.62998839148246,sao paulo,SP
01031,-23.537304315614186,-46.633862438491114,sao paulo,SP
01027,-23.537744895089144,-46.62934441534424,sao paulo,SP
01033,-23.542949999999962,-46.63529999999997,sao paulo,SP
01026,-23.53984025062037,-46.6302639919499,sao paulo,SP
01040,-23.543111356853643,-46.64104437508053,são paulo,SP
01042,-23.545322455998683,-46.639722845951944,são paulo,SP
01005,-23.54947149598929,-46.637403877748234,sao paulo,SP
01046,-23.546817419095163,-46.64537999999999,sao paulo,SP
01026,-23.53984025062037,-46.6302639919499,sao paulo,SP
01035,-23.5439473297362,-46.63739650167344,sao paulo,SP
01014,-23.544631844566954,-46.63393720301238,são paulo,SP
01035,-23.5439473297362,-46.63739650167344,sao paulo,SP
01049,-23.547837310577627,-46.64099781196259,sao paulo,SP
01046,-23.546817419095163,-46.64537999999999,sao paulo,SP
01021,-23.542808668330554,-46.632379409948555,sao paulo,SP
01014,-23.546940580846673,-46.633311921420805,sao paulo,SP
01042,-23.545322455998683,-46.639722845951944,são paulo,SP
01022,-23.54452462975358,-46.631461751457095,sao paulo,SP
01019,-23.55188848459232,-46.63008934096028,sao paulo,SP
01044,-23.546454307519205,-46.640845320560956,sao paulo,SP
01040,-23.54160305551385,-46.639215518870124,sao paulo,SP
01005,-23.54968972289983,-46.63671905572496,sao paulo,SP
01031,-23.544189999999958,-46.636289999999974,sao paulo,SP
01044,-23.547276880373964,-46.6399237790698,sao paulo,SP
01040,-23.540876706359263,-46.638218310433395,sao paulo,SP
01027,-23.537771130446078,-46.629418551907165,sao paulo,SP
01033,-23.54032130474925,-46.636394815973325,sao paulo,SP
01026,-23.539257503462455,-46.63329249708582,sao paulo,SP
01021,-23.541247875382297,-46.632080200386646,são paulo,SP
01027,-23.537625024150234,-46.63031301067581,são paulo,SP
01005,-23.548933414651763,-46.63811234831787,sao paulo,SP
01022,-23.54452462975358,-46.631461751457095,sao paulo,SP
01046,-23.54574166250217,-46.64304484150853,são paulo,SP
01040,-23.54096369914589,-46.63836884318196,sao paulo,SP
01035,-23.54098377450212,-46.642568531063326,sao paulo,SP
01049,-23.54867968581569,-46.640508851520515,sao paulo,SP
01027,-23.53778976963473,-46.63043882598531,são paulo,SP
01042,-23.54488036525475,-46.64038839439666,sao paulo,SP
01022,-23.547794628585642,-46.63023791550086,sao paulo,SP
01005,-23.549780031197233,-46.63535898865553,sao paulo,SP
01035,-23.540442866684945,-46.64379338894981,sao paulo,SP
01027,-23.538609367187988,-46.62956254731953,sao paulo,SP
01044,-23.545698024698503,-46.64135941020835,sao paulo,SP
01014,-23.544631844566954,-46.63393720301238,sao paulo,SP
01014,-23.544631844566954,-46.63393720301238,sao paulo,SP
01021,-23.53882519900166,-46.63201103996194,sao paulo,SP
01005,-23.549780031197233,-46.63535898865553,são paulo,SP
01012,-23.547677711062462,-46.635147429366945,sao paulo,SP
01040,-23.539898074383967,-46.6366870320561,sao paulo,SP
01042,-23.54488036525475,-46.64038839439666,sao paulo,SP
01021,-23.539930658895486,-46.63212395282469,sao paulo,SP
01049,-23.547792310577627,-46.6405883119626,sao paulo,SP
01044,-23.547276880373964,-46.6399237790698,sao paulo,SP
01049,-23.547757368861436,-46.64035090161002,sao paulo,SP
01031,-23.544207,-46.63628100000001,são paulo,SP
01042,-23.544739372468115,-46.640588427145246,são paulo,SP
01021,-23.54832793144441,-46.63064558589651,sao paulo,SP
01014,-23.544631844566954,-46.63393720301238,sao paulo,SP
01031,-23.54283887399732,-46.63483409602405,sao paulo,SP
01040,-23.544527209169786,-46.64301869646116,sao paulo,SP
01044,-23.545698024698503,-46.64135941020835,sao paulo,SP
01049,-23.547757368861436,-46.64035090161002,sao paulo,SP
01106,-23.532496356079495,-46.62640566388715,sao paulo,SP
01106,-23.531046789341573,-46.62742613696694,sao paulo,SP
01150,-23.53416257481785,-46.65547667412762,são paulo,SP
01150,-23.533209597553263,-46.65636020982169,sao paulo,SP
01141,-23.522680655288806,-46.667524254775316,sao paulo,SP
01123,-23.529457889574026,-46.636138441703906,sao paulo,SP
01129,-23.522209449622046,-46.642551998615026,sao paulo,SP
01153,-23.53214474770618,-46.65194013613022,sao paulo,SP
01139,-23.520176592273145,-46.675988312943566,são paulo,SP
01129,-23.522191449622035,-46.64250249861501,são paulo,SP
01153,-23.528619712735896,-46.65330991118932,sao paulo,SP
01141,-23.522680655288806,-46.667524254775316,sao paulo,SP
01140,-23.51709905300368,-46.676539268653784,são paulo,SP
01150,-23.53416257481785,-46.65547667412762,sao paulo,SP
01141,-23.522680655288806,-46.667524254775316,sao paulo,SP
01121,-23.530668516792655,-46.636254015955934,sao paulo,SP
01153,-23.530684798776623,-46.65301712891685,sao paulo,SP
01153,-23.53214474770618,-46.65194013613022,sao paulo,SP
01153,-23.528619712735896,-46.65330991118932,sao paulo,SP
01150,-23.53416257481785,-46.65547667412762,sao paulo,SP
01141,-23.522680655288806,-46.667524254775316,sao paulo,SP
01151,-23.52954736219633,-46.658301616567606,sao paulo,SP
01141,-23.522680655288806,-46.667524254775316,sao paulo,SP
01123,-23.528916565471484,-46.638014341208205,sao paulo,SP
01151,-23.52954736219633,-46.658301616567606,sao paulo,SP
01123,-23.52845770246411,-46.63523120621503,sao paulo,SP
01140,-23.51709905300368,-46.676539268653784,sao paulo,SP
01153,-23.530684798776623,-46.65301712891685,sao paulo,SP
01129,-23.52357284984707,-46.64267157132554,sao paulo,SP
01140,-23.51709905300368,-46.676539268653784,sao paulo,SP
01140,-23.51709905300368,-46.676539268653784,sao paulo,SP
01106,-23.531046789341573,-46.62742613696694,sao paulo,SP
01106,-23.526860374141556,-46.6294715095793,sao paulo,SP
01139,-23.520176592273145,-46.675988312943566,sao paulo,SP
01139,-23.520176592273145,-46.675988312943566,sao paulo,SP
01121,-23.524609348866132,-46.63615610560334,sao paulo,SP
01129,-23.52473270829249,-46.64837372023773,sao paulo,SP
01140,-23.518151749091164,-46.67403906535292,sao paulo,SP
01123,-23.528916565471484,-46.638014341208205,sao paulo,SP
01106,-23.531442621703505,-46.626796304605,sao paulo,SP
01139,-23.520176592273145,-46.675988312943566,sao paulo,SP
01150,-23.533209597553263,-46.65636020982169,sao paulo,SP
01106,-23.528700367187994,-46.62865354731952,sao paulo,SP
01121,-23.528832045242066,-46.635685690807364,sao paulo,SP
01139,-23.520176592273145,-46.675988312943566,são paulo,SP
01123,-23.52935726172887,-46.63723472799934,sao paulo,SP
01153,-23.528583261728876,-46.65314405606211,sao paulo,SP
01141,-23.522680655288806,-46.667524254775316,sao paulo,SP
01139,-23.520176592273145,-46.675988312943566,sao paulo,SP
01139,-23.521535802094853,-46.66638923244273,sao paulo,SP
01129,-23.52585125367879,-46.64220973120199,sao paulo,SP
01153,-23.533953789341567,-46.65067560421835,sao paulo,SP
01123,-23.529036658791803,-46.63804556547149,sao paulo,SP
01140,-23.523055470713867,-46.66587883651689,sao paulo,SP
01141,-23.522680655288806,-46.667524254775316,sao paulo,SP
01121,-23.529881787119866,-46.63608130197927,sao paulo,SP
01121,-23.524609348866132,-46.63615610560334,sao paulo,SP
01139,-23.520176592273145,-46.675988312943566,sao paulo,SP
01151,-23.52954736219633,-46.658301616567606,sao paulo,SP
01129,-23.52585125367879,-46.64220973120199,sao paulo,SP
01151,-23.52954736219633,-46.658301616567606,sao paulo,SP
01121,-23.52868592922271,-46.63569032030114,sao paulo,SP
01151,-23.52954736219633,-46.658301616567606,sao paulo,SP
01151,-23.532233343874466,-46.65538165652957,sao paulo,SP
01150,-23.533209597553263,-46.65636020982169,sao paulo,SP
01121,-23.52458446433722,-46.6343233329102,sao paulo,SP
01121,-23.528832045242066,-46.635685690807364,sao paulo,SP
01140,-23.51709905300368,-46.676539268653784,são paulo,SP
01150,-23.53416257481785,-46.65547667412762,são paulo,SP
01141,-23.522680655288806,-46.667524254775316,sao paulo,SP
01150,-23.53416257481785,-46.65547667412762,sao paulo,SP
01123,-23.52845770246411,-46.63523120621503,sao paulo,SP
01106,-23.528700367187994,-46.62865354731952,sao paulo,SP
01123,-23.529036658791803,-46.63804556547149,sao paulo,SP
01106,-23.532496356079495,-46.62640566388715,são paulo,SP
01140,-23.51709905300368,-46.676539268653784,sao paulo,SP
01151,-23.52954736219633,-46.658301616567606,sao paulo,SP
01129,-23.523768482370627,-46.64617377560733,sao paulo,SP
01151,-23.52954736219633,-46.658301616567606,sao paulo,SP
01129,-23.523292634196984,-46.64493111073924,sao paulo,SP
01218,-23.5340505,-46.6411545,sao paulo,SP
01220,-23.542533199001664,-46.64547053996195,sao paulo,SP
01244,-23.549863243407007,-46.66059273411618,sao paulo,SP
01232,-23.537439366639727,-46.66126058381903,sao paulo,SP
01220,-23.54303557507646,-46.64554243450282,sao paulo,SP
01216,-23.535076107680812,-46.65015687261233,sao paulo,SP
01230,-23.538859910352585,-46.65935566916726,sao paulo,SP
01214,-23.53535293756125,-46.640714925471784,sao paulo,SP
01224,-23.542662489035724,-46.653690913266786,sao paulo,SP
01233,-23.53995686444827,-46.66359382283071,são paulo,SP
01206,-23.53292256174625,-46.64500926712456,sao paulo,SP
01242,-23.54603669248079,-46.659234221622704,sao paulo,SP
01244,-23.547591869553923,-46.66065165889549,sao paulo,SP
01235,-23.53884819623171,-46.665377665820394,sao paulo,SP
01229,-23.535332842633714,-46.65516353482606,sao paulo,SP
01228,-23.55442720760001,-46.66300379101501,sao paulo,SP
01220,-23.542388444630372,-46.646473499999985,sao paulo,SP
01206,-23.533442665272137,-46.644619123636744,sao paulo,SP
01230,-23.53799001165676,-46.65917273550115,sao paulo,SP
01212,-23.537493461278807,-46.64005699209414,sao paulo,SP
01224,-23.54272547821568,-46.653664112268444,são paulo,SP
01229,-23.538050193173287,-46.65630037898899,sao paulo,SP
01227,-23.546983069107856,-46.658359469145026,sao paulo,SP
01206,-23.533442665272137,-46.644619123636744,sao paulo,SP
01201,-23.53793143297362,-46.646094755900485,sao paulo,SP
01234,-23.545304961892437,-46.665850500000005,sao paulo,SP
01232,-23.5374616419586,-46.65319250346245,sao paulo,SP
01233,-23.53995686444827,-46.66359382283071,sao paulo,SP
01223,-23.543735510964265,-46.654370276992324,sao paulo,SP
01239,-23.547447890645746,-46.65396002262102,sao paulo,SP
01227,-23.554376810721855,-46.66288171619834,sao paulo,SP
01242,-23.546217583126545,-46.65880336372555,são paulo,SP
01229,-23.535332842633714,-46.65516353482606,sao paulo,SP
01231,-23.533209376911508,-46.65805795683541,são paulo,SP
01224,-23.542662489035724,-46.653690913266786,são paulo,SP
01230,-23.538859910352585,-46.65935566916726,sao paulo,SP
01227,-23.540328785734882,-46.65537854954124,sao paulo,SP
01212,-23.536919986121536,-46.637730325004334,sao paulo,SP
01242,-23.545480464048758,-46.660422866495495,sao paulo,SP
01227,-23.554376810721855,-46.66288171619834,sao paulo,SP
01207,-23.539556807663438,-46.63842525742969,sao paulo,SP
01242,-23.546217583126545,-46.65880336372555,sao paulo,SP
01206,-23.53530611573089,-46.64325878253222,sao paulo,SP
01239,-23.547447890645746,-46.65396002262102,sao paulo,SP
01201,-23.53761135137629,-46.647047593254094,sao paulo,SP
01258,-23.542527374401352,-46.686575837930505,sao paulo,SP
01209,-23.538961655288812,-46.63861766833054,sao paulo,SP
01201,-23.538762000548264,-46.64533076282538,sao paulo,SP
01218,-23.532550344711186,-46.65231677338564,sao paulo,SP
01244,-23.5542027105142,-46.66378190328346,sao paulo,SP
01228,-23.55196050513589,-46.660848034970286,sao paulo,SP
01219,-23.541701678054075,-46.64532931112587,sao paulo,SP
01235,-23.533074261728878,-46.66249772799934,sao paulo,SP
01252,-23.54248095999793,-46.67732383199128,são paulo,SP
01252,-23.54248095999793,-46.67732383199128,sao paulo,SP
01243,-23.549050205378308,-46.65894108811819,sao paulo,SP
01227,-23.553117481274107,-46.66168343782106,sao paulo,SP
01219,-23.54229060782504,-46.644884596860784,sao paulo,SP
01228,-23.55196050513589,-46.660848034970286,sao paulo,SP
01242,-23.54524443130018,-46.66093947584975,são paulo,SP
01234,-23.545304961892437,-46.665850500000005,são paulo,SP
01244,-23.555400936436072,-46.66486462199197,sao paulo,SP
01232,-23.533633791563275,-46.659463936580295,são paulo,SP
01201,-23.538762000548264,-46.64533076282538,sao paulo,SP
01220,-23.546788658895494,-46.64671295282469,sao paulo,SP
01230,-23.537769988343243,-46.65904236663974,sao paulo,SP
01233,-23.53995686444827,-46.66359382283071,sao paulo,SP
01243,-23.54723237301637,-46.659449085203995,sao paulo,SP
01222,-23.544035696087473,-46.65025051442673,sao paulo,SP
01233,-23.53995686444827,-46.66359382283071,sao paulo,SP
01220,-23.542343696087467,-46.646473499999985,sao paulo,SP
01214,-23.535889931444405,-46.64173836303305,sao paulo,SP
01233,-23.53995686444827,-46.66359382283071,são paulo,SP
01244,-23.54590527560733,-46.66000312003006,sao paulo,SP
01239,-23.547447890645746,-46.65396002262102,sao paulo,SP
01235,-23.538907727739538,-46.66748544087947,sao paulo,SP
01240,-23.544087630878767,-46.658043816550226,sao paulo,SP
01216,-23.529325547319534,-46.646407771019696,sao paulo,SP
01230,-23.537769988343243,-46.65904236663974,sao paulo,SP
01209,-23.540729963085706,-46.64250834531055,sao paulo,SP
01234,-23.545304961892437,-46.665850500000005,são paulo,SP
01258,-23.545259632812005,-46.688460056610374,sao paulo,SP
01208,-23.53814629087078,-46.638173865254736,são paulo,SP
01216,-23.535076107680812,-46.65015687261233,sao paulo,SP
01243,-23.549050205378308,-46.65894108811819,sao paulo,SP
01201,-23.538762000548264,-46.64533076282538,sao paulo,SP
01228,-23.55442720760001,-46.66300379101501,sao paulo,SP
01258,-23.542527374401352,-46.686575837930505,sao paulo,SP
01219,-23.540760356367944,-46.64549968679663,sao paulo,SP
01258,-23.542527374401352,-46.686575837930505,sao paulo,SP
01208,-23.538629283657418,-46.63777494186043,sao paulo,SP
01216,-23.535076107680812,-46.65015687261233,sao paulo,SP
01243,-23.547085365803007,-46.65978111073924,sao paulo,SP
01252,-23.54248095999793,-46.67732383199128,sao paulo,SP
01252,-23.54248095999793,-46.67732383199128,sao paulo,SP
01234,-23.545304961892437,-46.665850500000005,sao paulo,SP
01252,-23.54248095999793,-46.67732383199128,sao paulo,SP
01234,-23.545304961892437,-46.665850500000005,sao paulo,SP
01232,-23.537972693029058,-46.65254599624908,são paulo,SP
01257,-23.542801347452485,-46.687628123896545,são paulo,SP
01208,-23.535804709129213,-46.63996902539098,sao paulo,SP
01207,-23.541642178950383,-46.63688462366268,sao paulo,SP
01235,-23.540818452132207,-46.668325181776325,são paulo,SP
01214,-23.535889931444405,-46.64173836303305,sao paulo,SP
01201,-23.53761135137629,-46.647047593254094,sao paulo,SP
01219,-23.542295384961594,-46.64496887039063,sao paulo,SP
01234,-23.545304961892437,-46.665850500000005,são paulo,SP
01209,-23.540729963085706,-46.64250834531055,sao paulo,SP
01240,-23.54460656148645,-46.65679157522068,sao paulo,SP
01218,-23.53034149875925,-46.6488059568354,são paulo,SP
01231,-23.533209376911508,-46.65805795683541,sao paulo,SP
01252,-23.54248095999793,-46.67732383199128,sao paulo,SP
01209,-23.539002603740375,-46.63862951527943,sao paulo,SP
01219,-23.540283786283155,-46.645344249812304,são paulo,SP
01231,-23.539629268942235,-46.6562234336661,sao paulo,SP
01208,-23.536517762421365,-46.639485900917514,sao paulo,SP
01224,-23.542662489035724,-46.653690913266786,sao paulo,SP
01223,-23.543675528997667,-46.653961332361945,sao paulo,SP
01252,-23.541433354434712,-46.68097573327946,sao paulo,SP
01219,-23.541701678054075,-46.64532931112587,são paulo,SP
01252,-23.54270904968546,-46.68083798211083,sao paulo,SP
01207,-23.539153243407018,-46.6386392098217,sao paulo,SP
01257,-23.540529142939555,-46.686399103381646,são paulo,SP
01219,-23.540283786283155,-46.645344249812304,sao paulo,SP
01216,-23.535475899532546,-46.650698120174305,sao paulo,SP
01218,-23.53034149875925,-46.6488059568354,sao paulo,SP
01224,-23.54272547821568,-46.653664112268444,sao paulo,SP
01206,-23.536908723555943,-46.64201001428248,são paulo,SP
01230,-23.53799001165676,-46.65917273550115,são paulo,SP
01232,-23.5374616419586,-46.65319250346245,sao paulo,SP
01231,-23.533209376911508,-46.65805795683541,sao paulo,SP
01242,-23.54524443130018,-46.66093947584975,sao paulo,SP
01229,-23.538050193173287,-46.65630037898899,sao paulo,SP
01258,-23.542527374401352,-46.686575837930505,sao paulo,SP
01212,-23.536919986121536,-46.637730325004334,são paulo,SP
01244,-23.54590527560733,-46.66000312003006,sao paulo,SP
01239,-23.547447890645746,-46.65396002262102,sao paulo,SP
01244,-23.55244266028047,-46.662543937965275,sao paulo,SP
01201,-23.538762000548264,-46.64533076282538,sao paulo,SP
01231,-23.538407804605008,-46.66002472883605,sao paulo,SP
01233,-23.535295396618356,-46.66157576796129,sao paulo,SP
01231,-23.539629268942235,-46.6562234336661,sao paulo,SP
01212,-23.537493461278807,-46.64005699209414,sao paulo,SP
01207,-23.53754279877663,-46.63978810338163,sao paulo,SP
01222,-23.544035696087473,-46.65025051442673,sao paulo,SP
01207,-23.53956724340701,-46.63835023535692,são paulo,SP
01229,-23.537042832361934,-46.65588403719198,sao paulo,SP
01229,-23.538050193173287,-46.65630037898899,sao paulo,SP
01235,-23.538798827370275,-46.667089613653424,sao paulo,SP
01230,-23.53885342492353,-46.657931458508834,sao paulo,SP
01228,-23.54953897140635,-46.65959741078528,sao paulo,SP
01235,-23.538079142651103,-46.666496372064074,sao paulo,SP
01207,-23.540829069565728,-46.63751538131034,são paulo,SP
01209,-23.540729963085706,-46.64250834531055,sao paulo,SP
01214,-23.538847557043052,-46.645645982370624,sao paulo,SP
01206,-23.53056210990252,-46.6467597300768,sao paulo,SP
01212,-23.5384235523112,-46.64147712698362,sao paulo,SP
01223,-23.543675528997667,-46.653961332361945,sao paulo,SP
01201,-23.538762000548264,-46.64533076282538,sao paulo,SP
01257,-23.542801347452485,-46.687628123896545,são paulo,SP
01218,-23.5340505,-46.6411545,sao paulo,SP
01257,-23.542801347452485,-46.687628123896545,sao paulo,SP
01231,-23.539629268942235,-46.6562234336661,sao paulo,SP
01208,-23.538629283657418,-46.63777494186043,sao paulo,SP
01222,-23.545284496249092,-46.651562329447756,sao paulo,SP
01206,-23.533442665272137,-46.644619123636744,sao paulo,SP
01239,-23.544231150152925,-46.65357000513589,sao paulo,SP
01240,-23.544076380229733,-46.65791220177162,sao paulo,SP
01222,-23.546162427059357,-46.65110441874062,sao paulo,SP
01220,-23.545690072162273,-46.64667342728946,sao paulo,SP
01240,-23.544737424086815,-46.65636094310117,são paulo,SP
01232,-23.533633791563275,-46.659463936580295,são paulo,SP
01232,-23.5372586014484,-46.662301524150244,sao paulo,SP
01240,-23.54460656148645,-46.65679157522068,sao paulo,SP
01228,-23.55442720760001,-46.66300379101501,são paulo,SP
01219,-23.5430884432454,-46.64406984485543,são paulo,SP
01224,-23.542662489035724,-46.653690913266786,são paulo,SP
01229,-23.535359099082473,-46.65524002345775,sao paulo,SP
01222,-23.544035696087473,-46.65025051442673,sao paulo,SP
01223,-23.543804536211034,-46.646850913266775,sao paulo,SP
01240,-23.54460656148645,-46.65679157522068,sao paulo,SP
01227,-23.554376810721855,-46.66288171619834,sao paulo,SP
01223,-23.544316121559277,-46.652483923394335,sao paulo,SP
01242,-23.546217583126545,-46.65880336372555,sao paulo,SP
01207,-23.53738962031853,-46.63998706134221,sao paulo,SP
01206,-23.533442665272137,-46.644619123636744,sao paulo,SP
01209,-23.540729963085706,-46.64250834531055,sao paulo,SP
01229,-23.538050193173287,-46.65630037898899,sao paulo,SP
01257,-23.540529142939555,-46.686399103381646,sao paulo,SP
01223,-23.544316121559277,-46.652483923394335,sao paulo,SP
01228,-23.55196050513589,-46.660848034970286,sao paulo,SP
01209,-23.540729963085706,-46.64250834531055,são paulo,SP
01214,-23.53992560866177,-46.64631414112188,sao paulo,SP
01220,-23.542533199001664,-46.64547053996195,sao paulo,SP
01216,-23.529325547319534,-46.646407771019696,sao paulo,SP
01243,-23.549050205378308,-46.65894108811819,sao paulo,SP
01234,-23.545304961892437,-46.665850500000005,são paulo,SP
01258,-23.542527374401352,-46.686575837930505,sao paulo,SP
01222,-23.547123576461438,-46.64994313113858,sao paulo,SP
01214,-23.53999726087134,-46.646297043368676,são paulo,SP
01240,-23.544076380229733,-46.65791220177162,sao paulo,SP
01235,-23.53783720093491,-46.6663143393155,sao paulo,SP
01224,-23.542662489035724,-46.653690913266786,são paulo,SP
01208,-23.53838154689136,-46.637874401800914,sao paulo,SP
01231,-23.533209376911508,-46.65805795683541,sao paulo,SP
01230,-23.53949208964741,-46.65960890022503,são paulo,SP
01240,-23.542180207340206,-46.66077758993586,sao paulo,SP
01209,-23.540729963085706,-46.64250834531055,sao paulo,SP
01224,-23.542662489035724,-46.653690913266786,sao paulo,SP
01216,-23.535076107680812,-46.65015687261233,sao paulo,SP
01234,-23.545304961892437,-46.665850500000005,sao paulo,SP
01239,-23.547447890645746,-46.65396002262102,são paulo,SP
01232,-23.53557444962204,-46.66210294310117,sao paulo,SP
01257,-23.542801347452485,-46.687628123896545,sao paulo,SP
01235,-23.534667177909846,-46.66329414418031,sao paulo,SP
01243,-23.549050205378308,-46.65894108811819,sao paulo,SP
01218,-23.5340505,-46.6411545,sao paulo,SP
01257,-23.540529142939555,-46.686399103381646,sao paulo,SP
01227,-23.553117481274107,-46.66168343782106,sao paulo,SP
01218,-23.529707873997317,-46.647816087425696,são paulo,SP
01239,-23.548930281435723,-46.65745564847949,sao paulo,SP
01212,-23.537493461278807,-46.64005699209414,sao paulo,SP
01244,-23.54590527560733,-46.66000312003006,sao paulo,SP
01212,-23.537609486814027,-46.64022905037796,sao paulo,SP
01214,-23.53999726087134,-46.646297043368676,sao paulo,SP
01222,-23.544035696087473,-46.65025051442673,sao paulo,SP
01208,-23.537924488123647,-46.63839899829675,são paulo,SP
01257,-23.540239969473113,-46.686196572018034,sao paulo,SP
01207,-23.539556807663438,-46.63842525742969,sao paulo,SP
01239,-23.544231150152925,-46.65357000513589,sao paulo,SP
01223,-23.543804536211034,-46.646850913266775,sao paulo,SP
01212,-23.5384235523112,-46.64147712698362,sao paulo,SP
01227,-23.554376810721855,-46.66288171619834,sao paulo,SP
01216,-23.529325547319534,-46.646407771019696,sao paulo,SP
01218,-23.532550344711186,-46.65231677338564,sao paulo,SP
01243,-23.548622867332213,-46.65621141618095,sao paulo,SP
01222,-23.547123576461438,-46.64994313113858,sao paulo,SP
01223,-23.543804536211034,-46.646850913266775,sao paulo,SP
01233,-23.53995686444827,-46.66359382283071,sao paulo,SP
01214,-23.53999726087134,-46.646297043368676,sao paulo,SP
01233,-23.535295396618356,-46.66157576796129,sao paulo,SP
01208,-23.53772170912922,-46.63843910921001,sao paulo,SP
01242,-23.54603669248079,-46.659234221622704,sao paulo,SP
01258,-23.545259632812005,-46.688460056610374,sao paulo,SP
01258,-23.542527374401352,-46.686575837930505,sao paulo,SP
01243,-23.550302718176,-46.654803966146936,sao paulo,SP
01228,-23.55196050513589,-46.660848034970286,sao paulo,SP
01220,-23.545690072162273,-46.64667342728946,são paulo,SP
01316,-23.55298158090484,-46.63977389064573,sao paulo,SP
01302,-23.547468929770968,-46.64446855897629,sao paulo,SP
01310,-23.560411034133562,-46.65750060115995,são paulo,SP
01329,-23.563145744936218,-46.64661879892085,sao paulo,SP
01307,-23.554161796006674,-46.65393801526344,sao paulo,SP
01322,-23.562903122944256,-46.64394546932889,sao paulo,SP
01319,-23.55098651511921,-46.64108072439266,sao paulo,SP
01301,-23.54768211019098,-46.64451908021235,sao paulo,SP
01302,-23.547468929770968,-46.64446855897629,sao paulo,SP
01303,-23.54919071579432,-46.65156961601936,sao paulo,SP
